Sample_ID	Day	Hive	Site	Specimen	Treatment	S16S_log10
d27_Q10b	d27	Q10	Q	324	Tet	8.646967225
d27_Q10c	d27	Q10	Q	325	Tet	8.024561403
d27_Q10d	d27	Q10	Q	326	Tet	8.473327332
d27_Q10e	d27	Q10	Q	327	Tet	8.494120457
d27_Q10f	d27	Q10	Q	328	Tet	8.238331942
d27_Q10g	d27	Q10	Q	329	Tet	8.796542489
d27_Q11a	d27	Q11	Q	330	Ctl	7.664494967
d27_Q11b	d27	Q11	Q	331	Ctl	7.928676568
d27_Q11c	d27	Q11	Q	332	Ctl	7.567591587
d27_Q11d	d27	Q11	Q	333	Ctl	8.966067368
d27_Q11e	d27	Q11	Q	334	Ctl	8.477272561
d27_Q11f	d27	Q11	Q	335	Ctl	6.342521389
d27_Q11g	d27	Q11	Q	336	Ctl	8.031967329
d27_Q12a	d27	Q12	Q	337	Ctl	8.769798256
d27_Q12b	d27	Q12	Q	338	Ctl	8.575897153
d27_Q12c	d27	Q12	Q	339	Ctl	8.36549525
d27_Q12d	d27	Q12	Q	340	Ctl	8.847549728
d27_Q12e	d27	Q12	Q	341	Ctl	8.759373146
d27_Q12f	d27	Q12	Q	342	Ctl	8.365276328
d27_Q12g	d27	Q12	Q	343	Ctl	8.683756862
d27_Q13a	d27	Q13	Q	344	Ctl	7.622476736
d27_Q13b	d27	Q13	Q	345	Ctl	7.991553329
d27_Q13c	d27	Q13	Q	346	Ctl	8.275017895
d27_Q13d	d27	Q13	Q	347	Ctl	7.945454545
d27_Q13e	d27	Q13	Q	348	Ctl	8.675304223
d27_Q13f	d27	Q13	Q	349	Ctl	8.211453114
d27_Q13g	d27	Q13	Q	350	Ctl	8.270722978
d27_Q14a	d27	Q14	Q	351	Ctl	7.662562634
d27_Q14b	d27	Q14	Q	352	Ctl	8.134430923
d27_Q14c	d27	Q14	Q	353	Ctl	8.214889048
d27_Q14d	d27	Q14	Q	354	Ctl	8.094058697
d27_Q14e	d27	Q14	Q	355	Ctl	8.201145311
d27_Q14f	d27	Q14	Q	356	Ctl	7.467000716
d27_Q14g	d27	Q14	Q	357	Ctl	8.307372942
d27_Q2a	d27	Q2	Q	358	ProB	8.040977926
d27_Q2b	d27	Q2	Q	359	ProB	8.007690077
d27_Q2c	d27	Q2	Q	360	ProB	7.881716414
d27_Q2d	d27	Q2	Q	361	ProB	8.591057849
d27_Q2e	d27	Q2	Q	362	ProB	8.873987786
d27_Q2f	d27	Q2	Q	363	ProB	8.449157616
d27_Q2g	d27	Q2	Q	364	ProB	5.997534337
d27_Q5a	d27	Q5	Q	365	ProB	8.094948303
d27_Q5b	d27	Q5	Q	366	ProB	7.764714879
d27_Q5c	d27	Q5	Q	367	ProB	7.502423839
d27_Q5d	d27	Q5	Q	368	ProB	7.462495066
d27_Q5e	d27	Q5	Q	369	ProB	8.524563284
d27_Q5f	d27	Q5	Q	370	ProB	8.185902673
d27_Q5g	d27	Q5	Q	371	ProB	8.078676562
d27_Q6a	d27	Q6	Q	372	ProB	7.548810987
d27_Q6b	d27	Q6	Q	373	ProB	8.580497313
d27_Q6c	d27	Q6	Q	374	ProB	8.430903512
d27_Q6d	d27	Q6	Q	375	ProB	8.862724059
d27_Q6e	d27	Q6	Q	376	ProB	8.599254131
d27_Q6f	d27	Q6	Q	377	ProB	8.56183824
d27_Q6g	d27	Q6	Q	378	ProB	7.968047195
d27_Q7a	d27	Q7	Q	379	ProB	8.41039357
d27_Q7b	d27	Q7	Q	380	ProB	7.819234832
d27_Q7c	d27	Q7	Q	381	ProB	8.39311832
